timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T18:49:35+03:00,0.1,performance,bios-auto,48.5,46.0,,48.5,46.0,,48.5,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:49:36+03:00,1.2,performance,bios-auto,48.2,46.0,,48.5,46.0,,48.5,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:49:37+03:00,2.2,performance,bios-auto,48.2,46.0,,48.5,46.0,,48.5,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:49:38+03:00,3.3,performance,bios-auto,48.1,46.0,,48.5,46.0,,48.5,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:49:39+03:00,4.4,performance,bios-auto,54.5,47.0,,49.1,46.1,,49.1,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:49:40+03:00,5.4,performance,bios-auto,58.8,48.0,,50.0,46.3,,50.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:49:41+03:00,6.7,performance,manual,60.5,47.0,,51.1,46.4,,60.5,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,81,31.8,1,0,0,0,
2026-09-06T18:49:42+03:00,7.8,performance,manual,68.6,52.0,,52.8,46.9,,68.6,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,,89,34.9,1,0,0,0,
2026-09-06T18:49:43+03:00,8.9,performance,manual,79.0,53.0,,55.4,47.5,,79.0,hp-vibrance-stx-n22x9-performance,cpu,46.7,31.7,,119,46.7,1,0,0,0,
2026-09-06T18:49:45+03:00,10.0,performance,manual,82.9,53.0,,58.2,48.1,,82.9,hp-vibrance-stx-n22x9-performance,cpu,56.7,31.7,,144,56.5,1,46,1100,1200,
2026-09-06T18:49:46+03:00,11.2,performance,manual,84.5,54.0,,60.8,48.7,,84.5,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,,183,71.8,1,68,1600,1700,
2026-09-06T18:49:47+03:00,12.3,performance,manual,85.2,54.0,,63.3,49.2,,85.2,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,85,2000,2000,
2026-09-06T18:49:48+03:00,13.4,performance,manual,85.6,54.0,,65.5,49.7,,85.6,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,97,2300,2500,
2026-09-06T18:49:49+03:00,14.4,performance,manual,85.9,55.0,,67.5,50.2,,85.9,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,110,2700,2800,
2026-09-06T18:49:50+03:00,15.5,performance,manual,86.1,55.0,,69.4,50.7,,86.1,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,127,3000,3100,
2026-09-06T18:49:51+03:00,16.6,performance,manual,86.2,55.0,,71.1,51.1,,86.2,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,144,3400,3500,
2026-09-06T18:49:52+03:00,17.7,performance,manual,86.5,55.0,,72.6,51.5,,86.5,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,157,3700,3800,
2026-09-06T18:49:53+03:00,18.8,performance,manual,86.6,55.0,,74.0,51.9,,86.6,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,165,3900,4100,
2026-09-06T18:49:54+03:00,19.9,performance,manual,86.8,55.0,,75.3,52.2,,86.8,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,182,4300,4400,
2026-09-06T18:49:55+03:00,20.9,performance,manual,86.9,55.0,,76.5,52.5,,86.9,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,195,4600,4700,
2026-09-06T18:49:57+03:00,22.0,performance,manual,87.0,55.0,,77.5,52.7,,87.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T18:49:58+03:00,23.1,performance,manual,87.0,55.0,,78.5,52.9,,87.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T18:49:59+03:00,24.2,performance,manual,87.0,55.0,,79.3,53.1,,87.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T18:50:00+03:00,25.3,performance,manual,87.1,55.0,,80.1,53.3,,87.1,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T18:50:01+03:00,26.4,performance,manual,87.1,55.0,,80.8,53.5,,87.1,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T18:50:02+03:00,27.5,performance,manual,87.0,55.0,,81.4,53.6,,87.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T18:50:03+03:00,28.5,performance,manual,87.1,55.0,,82.0,53.8,,87.1,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T18:50:04+03:00,29.6,performance,manual,87.1,55.0,,82.5,53.9,,87.1,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,,200,78.4,1,195,4600,4800,
