timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T18:38:16+03:00,0.1,performance,bios-auto,46.0,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:17+03:00,1.1,performance,bios-auto,45.9,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:18+03:00,2.2,performance,bios-auto,46.1,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:19+03:00,3.2,performance,bios-auto,46.0,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:20+03:00,4.2,performance,bios-auto,45.9,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:21+03:00,5.3,performance,bios-auto,45.8,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:22+03:00,6.3,performance,bios-auto,45.8,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:23+03:00,7.4,performance,bios-auto,46.0,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:24+03:00,8.4,performance,bios-auto,46.2,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:25+03:00,9.5,performance,bios-auto,46.0,,,46.0,,,46.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:27+03:00,10.5,performance,bios-auto,49.6,,,46.4,,,46.4,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:28+03:00,11.6,performance,bios-auto,55.5,,,47.3,,,47.3,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:29+03:00,12.6,performance,bios-auto,57.4,,,48.3,,,48.3,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:30+03:00,13.7,performance,bios-auto,58.6,,,49.3,,,49.3,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:31+03:00,14.7,performance,bios-auto,59.1,,,50.3,,,50.3,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:32+03:00,15.8,performance,bios-auto,59.5,,,51.2,,,51.2,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:33+03:00,16.8,performance,bios-auto,59.8,,,52.1,,,52.1,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T18:38:34+03:00,18.0,performance,manual,60.0,,,52.9,,,60.0,hp-vibrance-stx-n22x9-performance,cpu,31.7,,,81,31.8,1,0,0,0,
2026-09-06T18:38:35+03:00,19.1,performance,manual,65.2,,,54.1,,,65.2,hp-vibrance-stx-n22x9-performance,cpu,33.3,,,85,33.3,1,0,0,0,
2026-09-06T18:38:36+03:00,20.2,performance,manual,76.9,,,56.4,,,76.9,hp-vibrance-stx-n22x9-performance,cpu,41.7,,,106,41.6,1,0,0,0,
2026-09-06T18:38:37+03:00,21.3,performance,manual,81.1,,,58.9,,,81.1,hp-vibrance-stx-n22x9-performance,cpu,51.7,,,132,51.8,1,42,1000,1000,
2026-09-06T18:38:38+03:00,22.4,performance,manual,82.9,,,61.3,,,82.9,hp-vibrance-stx-n22x9-performance,cpu,56.7,,,144,56.5,1,68,1600,1600,
2026-09-06T18:38:40+03:00,23.5,performance,manual,83.6,,,63.5,,,83.6,hp-vibrance-stx-n22x9-performance,cpu,61.7,,,157,61.6,1,80,2000,2000,
2026-09-06T18:38:41+03:00,24.5,performance,manual,83.9,,,65.5,,,83.9,hp-vibrance-stx-n22x9-performance,cpu,61.7,,,157,61.6,1,97,2300,2400,
2026-09-06T18:38:42+03:00,25.6,performance,manual,84.2,,,67.4,,,84.2,hp-vibrance-stx-n22x9-performance,cpu,71.7,,,183,71.8,1,110,2700,2800,
2026-09-06T18:38:43+03:00,26.7,performance,manual,84.6,,,69.1,,,84.6,hp-vibrance-stx-n22x9-performance,cpu,71.7,,,183,71.8,1,127,3000,3100,
