timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T19:23:50+03:00,0.1,performance,bios-auto,48.0,45.0,7.0,,,48.0,45.0,,48.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T19:23:51+03:00,1.2,performance,bios-auto,47.8,45.0,7.0,,,48.0,45.0,,48.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T19:23:52+03:00,2.2,performance,bios-auto,47.6,45.0,7.0,,,48.0,45.0,,48.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T19:23:53+03:00,3.3,performance,bios-auto,47.9,45.0,7.1,,,48.0,45.0,,48.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T19:23:54+03:00,4.4,performance,bios-auto,48.6,45.0,7.1,,,48.0,45.0,,48.0,hp-vibrance-stx-n22x9-performance,,,,,,,2,0,0,0,
2026-09-06T19:23:55+03:00,5.5,performance,manual,65.4,59.0,168.3,,,49.8,46.4,,65.4,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,,85,33.3,1,0,0,0,
2026-09-06T19:23:56+03:00,6.6,performance,manual,71.2,50.0,114.3,,,51.9,46.8,,71.2,hp-vibrance-stx-n22x9-performance,cpu,36.7,31.7,,94,36.9,1,0,0,0,
2026-09-06T19:23:57+03:00,7.7,performance,manual,72.6,50.0,54.8,,,54.0,47.1,,72.6,hp-vibrance-stx-n22x9-performance,cpu,36.7,31.7,,94,36.9,1,0,0,0,
2026-09-06T19:23:58+03:00,8.8,performance,manual,73.1,50.0,54.8,,,55.9,47.4,,73.1,hp-vibrance-stx-n22x9-performance,cpu,36.7,31.7,,94,36.9,1,46,1100,1300,
2026-09-06T19:23:59+03:00,9.8,performance,manual,73.4,50.0,54.8,,,57.6,47.6,,73.4,hp-vibrance-stx-n22x9-performance,cpu,36.7,31.7,,94,36.9,1,68,1600,1700,
