timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T16:25:44+03:00,0.1,performance,bios-auto,47.1,44.0,45.0,47.1,44.0,45.0,47.1,,,2,0,0,0,
2026-09-06T16:25:45+03:00,1.2,performance,bios-auto,47.1,44.0,45.0,47.1,44.0,45.0,47.1,,,2,0,0,0,
2026-09-06T16:25:46+03:00,2.2,performance,bios-auto,47.4,44.0,45.0,47.2,44.0,45.0,47.2,,,2,0,0,0,
2026-09-06T16:25:47+03:00,3.3,performance,bios-auto,47.1,44.0,45.0,47.2,44.0,45.0,47.2,,,2,0,0,0,
2026-09-06T16:25:48+03:00,4.4,performance,bios-auto,46.9,44.0,45.0,47.2,44.0,45.0,47.2,,,2,0,0,0,
2026-09-06T16:25:49+03:00,5.4,performance,bios-auto,46.6,44.0,45.0,47.1,44.0,45.0,47.1,,,2,0,0,0,
2026-09-06T16:25:50+03:00,6.5,performance,bios-auto,52.6,46.0,45.0,48.5,44.5,45.0,48.5,,,2,0,0,0,
2026-09-06T16:25:51+03:00,7.6,performance,bios-auto,57.1,46.0,45.0,50.6,44.9,45.0,50.6,,,2,0,0,0,
2026-09-06T16:25:53+03:00,8.7,performance,bios-auto,58.9,46.0,45.0,52.7,45.2,45.0,52.7,,,2,0,0,0,
2026-09-06T16:25:54+03:00,9.8,performance,bios-auto,59.6,47.0,45.0,54.4,45.6,45.0,54.4,,,2,0,0,0,
2026-09-06T16:25:55+03:00,10.9,performance,bios-auto,59.9,47.0,45.0,55.8,46.0,45.0,55.8,,,2,0,0,0,
2026-09-06T16:25:56+03:00,12.0,performance,bios-auto,60.1,47.0,45.0,56.9,46.2,45.0,56.9,,,2,0,0,0,
2026-09-06T16:25:57+03:00,13.1,performance,bios-auto,60.4,47.0,50.0,57.8,46.4,46.2,57.8,,,2,0,0,0,
2026-09-06T16:25:58+03:00,14.1,performance,bios-auto,60.6,47.0,50.0,58.5,46.6,47.2,58.5,,,2,0,0,0,
2026-09-06T16:25:59+03:00,15.2,performance,bios-auto,60.8,47.0,50.0,59.0,46.7,47.9,59.0,,,2,0,0,0,
2026-09-06T16:26:00+03:00,16.3,performance,bios-auto,60.9,47.0,50.0,59.5,46.8,48.4,59.5,,,2,0,0,0,
2026-09-06T16:26:01+03:00,17.4,performance,bios-auto,61.0,48.0,50.0,59.9,47.1,48.8,59.9,,,2,0,0,0,
2026-09-06T16:26:02+03:00,18.5,performance,bios-auto,61.2,48.0,50.0,60.2,47.3,49.1,60.2,,,2,0,0,0,
2026-09-06T16:26:03+03:00,19.6,performance,bios-auto,61.4,48.0,50.0,60.5,47.5,49.3,60.5,,,2,0,0,0,
2026-09-06T16:26:05+03:00,20.7,performance,bios-auto,61.5,48.0,50.0,60.8,47.6,49.5,60.8,,,2,0,0,0,
2026-09-06T16:26:06+03:00,21.8,performance,bios-auto,61.6,49.0,50.0,61.0,48.0,49.6,61.0,,,2,0,0,0,
2026-09-06T16:26:07+03:00,22.8,performance,bios-auto,61.8,49.0,50.0,61.2,48.2,49.7,61.2,,,2,0,0,0,
2026-09-06T16:26:08+03:00,23.9,performance,bios-auto,61.9,49.0,59.0,61.3,48.4,52.0,61.3,,,2,0,0,0,
