elapsed_s,timestamp,profile,cpu_temp_c,gpu_temp_c,acpi_temp_c,fan1_rpm,fan2_rpm,pwm_enable,pwm_percent,cpu_power_w,gpu_power_w,gpu_util_percent
0,2026-09-06T14:09:22+03:00,balanced,41.5,40,41.0,0,0,2,0.0,NA,21.46,13
4,2026-09-06T14:09:23+03:00,balanced,47.6,40,41.0,0,0,2,0.0,NA,19.13,0
5,2026-09-06T14:09:24+03:00,balanced,52.4,40,41.0,0,0,2,0.0,NA,18.81,0
6,2026-09-06T14:09:25+03:00,balanced,54.2,41,41.0,0,0,2,0.0,NA,18.93,0
7,2026-09-06T14:09:26+03:00,balanced,55.1,41,41.0,0,0,2,0.0,NA,15.88,0
8,2026-09-06T14:09:28+03:00,balanced,55.8,41,41.0,0,0,2,0.0,NA,15.90,0
10,2026-09-06T14:09:29+03:00,balanced,56.0,41,41.0,0,0,2,0.0,NA,15.92,0
11,2026-09-06T14:09:30+03:00,balanced,56.2,41,41.0,0,0,2,0.0,NA,16.02,0
12,2026-09-06T14:09:31+03:00,balanced,56.4,42,41.0,0,0,2,0.0,NA,15.95,0
13,2026-09-06T14:09:32+03:00,balanced,56.8,42,41.0,0,0,2,0.0,NA,16.07,0
14,2026-09-06T14:09:34+03:00,balanced,57.0,42,41.0,0,0,2,0.0,NA,6.03,0
16,2026-09-06T14:09:35+03:00,balanced,57.1,42,52.0,0,0,2,0.0,NA,6.26,0
17,2026-09-06T14:09:36+03:00,balanced,57.2,42,52.0,0,0,2,0.0,NA,6.26,0
18,2026-09-06T14:09:37+03:00,balanced,57.4,42,52.0,0,0,2,0.0,NA,6.19,0
19,2026-09-06T14:09:38+03:00,balanced,57.6,42,52.0,0,0,2,0.0,NA,6.19,0
20,2026-09-06T14:09:40+03:00,balanced,57.8,42,52.0,0,0,2,0.0,NA,6.18,0
22,2026-09-06T14:09:41+03:00,balanced,57.9,43,52.0,0,0,2,0.0,NA,6.21,0
23,2026-09-06T14:09:42+03:00,balanced,58.1,43,52.0,0,0,2,0.0,NA,6.30,0
24,2026-09-06T14:09:43+03:00,balanced,58.4,43,52.0,0,0,2,0.0,NA,6.28,0
25,2026-09-06T14:09:44+03:00,balanced,58.5,43,52.0,0,0,2,0.0,NA,6.27,0
26,2026-09-06T14:09:46+03:00,balanced,58.6,43,56.0,0,0,2,0.0,NA,6.29,0
28,2026-09-06T14:09:47+03:00,balanced,58.8,43,56.0,0,0,2,0.0,NA,6.34,0
29,2026-09-06T14:09:48+03:00,balanced,59.0,43,56.0,0,0,2,0.0,NA,6.33,0
30,2026-09-06T14:09:49+03:00,balanced,59.1,44,56.0,0,0,2,0.0,NA,6.30,0
31,2026-09-06T14:09:50+03:00,balanced,59.2,44,56.0,0,0,2,0.0,NA,6.26,0
32,2026-09-06T14:09:52+03:00,balanced,59.4,44,56.0,0,0,2,0.0,NA,6.42,0
34,2026-09-06T14:09:53+03:00,balanced,59.5,44,56.0,0,0,2,0.0,NA,6.52,0
35,2026-09-06T14:09:54+03:00,balanced,59.5,44,56.0,0,0,2,0.0,NA,6.51,0
36,2026-09-06T14:09:55+03:00,balanced,59.6,44,56.0,0,0,2,0.0,NA,6.41,0
37,2026-09-06T14:09:56+03:00,balanced,59.8,44,57.0,0,0,2,0.0,NA,6.39,0
38,2026-09-06T14:09:58+03:00,balanced,59.9,45,57.0,0,0,2,0.0,NA,6.45,0
40,2026-09-06T14:09:59+03:00,balanced,60.1,45,57.0,0,0,2,0.0,NA,6.66,0
41,2026-09-06T14:10:00+03:00,balanced,60.2,45,57.0,0,0,2,0.0,NA,6.39,0
42,2026-09-06T14:10:01+03:00,balanced,60.4,45,57.0,0,0,2,0.0,NA,6.42,0
43,2026-09-06T14:10:02+03:00,balanced,60.5,45,57.0,0,0,2,0.0,NA,6.58,0
44,2026-09-06T14:10:04+03:00,balanced,60.6,45,57.0,0,0,2,0.0,NA,6.57,0
46,2026-09-06T14:10:05+03:00,balanced,60.8,45,57.0,0,0,2,0.0,NA,6.71,0
47,2026-09-06T14:10:06+03:00,balanced,60.9,45,57.0,0,0,2,0.0,NA,6.51,0
48,2026-09-06T14:10:07+03:00,balanced,61.0,46,58.0,0,0,2,0.0,NA,6.54,0
49,2026-09-06T14:10:08+03:00,balanced,61.1,46,58.0,0,0,2,0.0,NA,6.68,0
50,2026-09-06T14:10:10+03:00,balanced,61.2,46,58.0,0,0,2,0.0,NA,6.66,0
52,2026-09-06T14:10:11+03:00,balanced,61.4,46,58.0,0,0,2,0.0,NA,6.60,0
53,2026-09-06T14:10:12+03:00,balanced,61.6,46,58.0,0,0,2,0.0,NA,6.70,0
54,2026-09-06T14:10:13+03:00,balanced,61.8,46,58.0,0,0,2,0.0,NA,6.75,0
55,2026-09-06T14:10:14+03:00,balanced,61.9,46,58.0,0,0,2,0.0,NA,6.65,0
56,2026-09-06T14:10:16+03:00,balanced,62.0,47,58.0,0,0,2,0.0,NA,6.68,0
58,2026-09-06T14:10:17+03:00,balanced,62.1,47,58.0,0,0,2,0.0,NA,6.69,0
59,2026-09-06T14:10:18+03:00,balanced,62.2,47,58.0,0,0,2,0.0,NA,6.72,0
60,2026-09-06T14:10:19+03:00,balanced,62.4,47,60.0,0,0,2,0.0,NA,6.97,0
61,2026-09-06T14:10:20+03:00,balanced,62.5,47,60.0,0,0,2,0.0,NA,6.66,0
62,2026-09-06T14:10:22+03:00,balanced,62.6,47,60.0,0,0,2,0.0,NA,6.67,0
64,2026-09-06T14:10:23+03:00,balanced,62.8,47,60.0,0,0,2,0.0,NA,6.88,0
65,2026-09-06T14:10:24+03:00,balanced,62.9,47,60.0,0,0,2,0.0,NA,6.76,0
66,2026-09-06T14:10:25+03:00,balanced,63.0,47,60.0,0,0,2,0.0,NA,6.80,0
67,2026-09-06T14:10:26+03:00,balanced,63.1,48,60.0,0,0,2,0.0,NA,6.69,0
68,2026-09-06T14:10:28+03:00,balanced,63.1,48,60.0,0,0,2,0.0,NA,6.84,0
70,2026-09-06T14:10:29+03:00,balanced,63.4,48,60.0,0,0,2,0.0,NA,6.89,0
71,2026-09-06T14:10:30+03:00,balanced,63.5,48,61.0,0,0,2,0.0,NA,6.95,0
72,2026-09-06T14:10:31+03:00,balanced,63.5,48,61.0,0,0,2,0.0,NA,6.84,0
73,2026-09-06T14:10:32+03:00,balanced,63.8,48,61.0,0,0,2,0.0,NA,6.75,0
74,2026-09-06T14:10:34+03:00,balanced,63.9,48,61.0,0,0,2,0.0,NA,6.92,0
76,2026-09-06T14:10:35+03:00,balanced,63.9,48,61.0,0,0,2,0.0,NA,6.98,0
77,2026-09-06T14:10:36+03:00,balanced,64.0,48,61.0,0,0,2,0.0,NA,6.97,0
78,2026-09-06T14:10:37+03:00,balanced,64.2,48,61.0,0,0,2,0.0,NA,6.93,0
79,2026-09-06T14:10:39+03:00,balanced,64.2,49,61.0,0,0,2,0.0,NA,6.86,0
81,2026-09-06T14:10:40+03:00,balanced,64.4,49,61.0,0,0,2,0.0,NA,7.10,0
