elapsed_s,timestamp,profile,cpu_temp_c,gpu_temp_c,acpi_temp_c,fan1_rpm,fan2_rpm,pwm_enable,pwm_percent,cpu_power_w,gpu_power_w,gpu_util_percent
0,2026-09-06T14:13:50+03:00,performance,70.0,49,49.0,0,0,2,0.0,NA,25.22,10
4,2026-09-06T14:13:51+03:00,performance,85.2,49,49.0,0,0,2,0.0,NA,27.83,0
5,2026-09-06T14:13:53+03:00,performance,86.0,49,49.0,0,0,2,0.0,NA,27.78,0
7,2026-09-06T14:13:54+03:00,performance,86.8,50,49.0,0,0,2,0.0,NA,25.58,0
8,2026-09-06T14:13:55+03:00,performance,87.2,50,49.0,0,0,2,0.0,NA,25.40,0
9,2026-09-06T14:13:56+03:00,performance,87.6,50,50.0,0,0,2,0.0,NA,25.47,0
10,2026-09-06T14:13:57+03:00,performance,88.2,51,50.0,0,0,2,0.0,NA,25.59,0
11,2026-09-06T14:13:58+03:00,performance,88.6,51,78.0,0,0,2,0.0,NA,25.57,0
12,2026-09-06T14:14:00+03:00,performance,88.8,51,78.0,0,0,2,0.0,NA,25.60,0
14,2026-09-06T14:14:01+03:00,performance,89.0,52,78.0,300,600,2,9.8,NA,25.65,0
15,2026-09-06T14:14:02+03:00,performance,89.4,52,78.0,1400,1600,2,24.7,NA,13.19,0
16,2026-09-06T14:14:03+03:00,performance,89.6,52,78.0,1900,2000,2,31.4,NA,9.44,0
17,2026-09-06T14:14:04+03:00,performance,89.9,52,78.0,2300,2400,2,38.0,NA,7.85,0
18,2026-09-06T14:14:05+03:00,performance,90.0,52,78.0,2600,2800,2,44.7,NA,7.86,0
19,2026-09-06T14:14:07+03:00,performance,90.1,52,78.0,3000,3200,2,49.8,NA,7.12,0
21,2026-09-06T14:14:08+03:00,performance,90.1,52,78.0,3000,3200,2,49.8,NA,7.44,0
22,2026-09-06T14:14:09+03:00,performance,90.2,52,88.0,3000,3200,2,49.8,NA,7.02,0
23,2026-09-06T14:14:10+03:00,performance,90.2,52,88.0,3200,3400,2,53.3,NA,7.10,0
24,2026-09-06T14:14:11+03:00,performance,90.2,52,88.0,3400,3600,2,56.5,NA,7.13,0
25,2026-09-06T14:14:13+03:00,performance,90.2,52,88.0,3400,3600,2,56.5,NA,7.12,0
27,2026-09-06T14:14:14+03:00,performance,90.2,52,88.0,3400,3600,2,56.5,NA,7.09,0
28,2026-09-06T14:14:15+03:00,performance,90.2,52,88.0,3400,3600,2,56.5,NA,6.97,0
29,2026-09-06T14:14:16+03:00,performance,90.2,52,88.0,3400,3600,2,56.5,NA,7.08,0
30,2026-09-06T14:14:17+03:00,performance,90.2,52,88.0,3400,3600,2,56.5,NA,7.09,0
31,2026-09-06T14:14:18+03:00,performance,90.2,52,88.0,3400,3600,2,56.5,NA,7.08,0
32,2026-09-06T14:14:20+03:00,performance,90.2,52,88.0,3400,3600,2,56.5,NA,7.09,0
34,2026-09-06T14:14:21+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.07,0
35,2026-09-06T14:14:22+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.04,0
36,2026-09-06T14:14:23+03:00,performance,90.4,52,89.0,3400,3600,2,56.5,NA,7.03,0
37,2026-09-06T14:14:24+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.07,0
38,2026-09-06T14:14:26+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.09,0
40,2026-09-06T14:14:27+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.09,0
41,2026-09-06T14:14:28+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.01,0
42,2026-09-06T14:14:29+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.05,0
43,2026-09-06T14:14:30+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.11,0
44,2026-09-06T14:14:31+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.15,0
45,2026-09-06T14:14:33+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.16,0
47,2026-09-06T14:14:34+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.16,0
48,2026-09-06T14:14:35+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.01,0
49,2026-09-06T14:14:36+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.09,0
50,2026-09-06T14:14:37+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.16,0
51,2026-09-06T14:14:38+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.16,0
52,2026-09-06T14:14:40+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.19,0
54,2026-09-06T14:14:41+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.13,0
55,2026-09-06T14:14:42+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.12,0
56,2026-09-06T14:14:43+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.18,0
57,2026-09-06T14:14:44+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.16,0
58,2026-09-06T14:14:46+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.15,0
60,2026-09-06T14:14:47+03:00,performance,90.5,52,89.0,3400,3600,2,56.5,NA,7.12,0
61,2026-09-06T14:14:48+03:00,performance,90.4,52,89.0,3400,3600,2,56.5,NA,7.11,0
62,2026-09-06T14:14:49+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.10,0
63,2026-09-06T14:14:50+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.16,0
64,2026-09-06T14:14:51+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.18,0
65,2026-09-06T14:14:53+03:00,performance,90.1,52,89.0,3400,3600,2,56.5,NA,7.20,0
67,2026-09-06T14:14:54+03:00,performance,90.1,52,89.0,3400,3600,2,56.5,NA,7.18,0
68,2026-09-06T14:14:55+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.07,0
69,2026-09-06T14:14:56+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.13,0
70,2026-09-06T14:14:57+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.19,0
71,2026-09-06T14:14:58+03:00,performance,90.2,52,89.0,3400,3600,2,56.5,NA,7.16,0
73,2026-09-06T14:15:00+03:00,performance,83.0,52,89.0,3400,3600,2,56.5,NA,7.18,0
74,2026-09-06T14:15:01+03:00,performance,76.5,52,89.0,3400,3600,2,56.5,NA,7.20,0
75,2026-09-06T14:15:02+03:00,performance,72.9,52,89.0,3400,3600,2,56.5,NA,7.29,0
76,2026-09-06T14:15:03+03:00,performance,70.8,52,89.0,3400,3600,2,56.5,NA,7.29,0
77,2026-09-06T14:15:04+03:00,performance,69.5,52,89.0,3400,3600,2,56.5,NA,7.26,0
78,2026-09-06T14:15:06+03:00,performance,68.8,51,89.0,3400,3600,2,56.5,NA,7.26,0
80,2026-09-06T14:15:07+03:00,performance,68.2,51,89.0,3400,3600,2,56.5,NA,7.25,0
81,2026-09-06T14:15:08+03:00,performance,67.9,51,89.0,3400,3600,2,56.5,NA,7.92,0
82,2026-09-06T14:15:09+03:00,performance,67.6,51,89.0,3400,3600,2,56.5,NA,7.18,0
83,2026-09-06T14:15:10+03:00,performance,67.4,51,89.0,3400,3600,2,56.5,NA,7.68,0
84,2026-09-06T14:15:12+03:00,performance,67.2,51,72.0,3400,3600,2,56.5,NA,7.19,0
86,2026-09-06T14:15:13+03:00,performance,67.1,51,72.0,3200,3400,2,53.3,NA,7.24,0
87,2026-09-06T14:15:14+03:00,performance,67.0,50,72.0,3000,3200,2,49.8,NA,7.03,0
88,2026-09-06T14:15:15+03:00,performance,66.8,50,72.0,2800,2900,2,46.7,NA,7.05,0
89,2026-09-06T14:15:16+03:00,performance,66.6,50,72.0,2800,3000,2,46.7,NA,7.07,0
90,2026-09-06T14:15:18+03:00,performance,66.5,50,72.0,2800,3000,2,46.7,NA,7.10,0
92,2026-09-06T14:15:19+03:00,performance,66.5,50,72.0,2800,3000,2,46.7,NA,7.16,0
93,2026-09-06T14:15:20+03:00,performance,66.4,50,72.0,2800,3000,2,46.7,NA,6.95,0
94,2026-09-06T14:15:21+03:00,performance,66.2,50,72.0,2800,3000,2,46.7,NA,7.01,0
95,2026-09-06T14:15:22+03:00,performance,66.2,50,66.0,2800,3000,2,46.7,NA,7.08,0
96,2026-09-06T14:15:23+03:00,performance,66.1,50,66.0,2600,2800,2,41.6,NA,7.18,0
97,2026-09-06T14:15:25+03:00,performance,66.1,50,66.0,2400,2600,2,40.0,NA,7.17,0
99,2026-09-06T14:15:26+03:00,performance,66.0,50,66.0,2400,2600,2,40.0,NA,7.00,0
100,2026-09-06T14:15:27+03:00,performance,66.0,50,66.0,2400,2600,2,40.0,NA,6.95,0
101,2026-09-06T14:15:28+03:00,performance,66.0,50,66.0,2400,2600,2,40.0,NA,7.00,0
102,2026-09-06T14:15:29+03:00,performance,66.0,50,66.0,2400,2600,2,40.0,NA,7.04,0
103,2026-09-06T14:15:31+03:00,performance,65.9,50,66.0,2400,2600,2,40.0,NA,7.05,0
105,2026-09-06T14:15:32+03:00,performance,65.9,50,66.0,2400,2600,2,40.0,NA,7.05,0
106,2026-09-06T14:15:33+03:00,performance,65.9,50,66.0,2400,2600,2,40.0,NA,6.92,0
107,2026-09-06T14:15:34+03:00,performance,65.8,50,66.0,2400,2600,2,40.0,NA,7.04,0
108,2026-09-06T14:15:35+03:00,performance,65.8,50,66.0,2400,2600,2,40.0,NA,7.08,0
109,2026-09-06T14:15:37+03:00,performance,65.8,50,66.0,2400,2600,2,40.0,NA,7.06,0
111,2026-09-06T14:15:38+03:00,performance,65.6,50,66.0,2400,2600,2,40.0,NA,7.03,0
112,2026-09-06T14:15:39+03:00,performance,65.6,49,66.0,2400,2600,2,40.0,NA,6.95,0
113,2026-09-06T14:15:40+03:00,performance,65.6,49,65.0,2400,2600,2,40.0,NA,6.99,0
114,2026-09-06T14:15:41+03:00,performance,65.5,49,65.0,2200,2300,2,36.5,NA,6.98,0
115,2026-09-06T14:15:43+03:00,performance,65.5,49,65.0,2200,2400,2,36.5,NA,7.00,0
117,2026-09-06T14:15:44+03:00,performance,65.5,49,65.0,2200,2400,2,36.5,NA,7.02,0
118,2026-09-06T14:15:45+03:00,performance,65.5,49,65.0,2200,2400,2,36.5,NA,6.92,0
119,2026-09-06T14:15:46+03:00,performance,65.5,49,65.0,2200,2400,2,36.5,NA,7.02,0
120,2026-09-06T14:15:47+03:00,performance,61.6,49,65.0,2200,2400,2,36.5,NA,7.09,0
121,2026-09-06T14:15:48+03:00,performance,57.5,49,65.0,2200,2400,2,36.5,NA,7.53,0
122,2026-09-06T14:15:50+03:00,performance,59.1,49,65.0,2200,2400,2,36.5,NA,7.63,0
124,2026-09-06T14:15:51+03:00,performance,62.9,49,65.0,2200,2400,2,36.5,NA,7.09,0
125,2026-09-06T14:15:52+03:00,performance,64.1,49,65.0,2200,2400,2,36.5,NA,6.91,0
126,2026-09-06T14:15:53+03:00,performance,64.6,49,65.0,2200,2400,2,36.5,NA,6.94,0
127,2026-09-06T14:15:54+03:00,performance,64.8,49,65.0,2200,2400,2,36.5,NA,6.94,0
128,2026-09-06T14:15:56+03:00,performance,64.9,49,65.0,2200,2400,2,36.5,NA,6.96,0
130,2026-09-06T14:15:57+03:00,performance,64.9,49,65.0,2200,2400,2,36.5,NA,6.93,0
131,2026-09-06T14:15:58+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.91,0
132,2026-09-06T14:15:59+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.93,0
133,2026-09-06T14:16:00+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.98,0
134,2026-09-06T14:16:01+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.95,0
135,2026-09-06T14:16:03+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.97,0
137,2026-09-06T14:16:04+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.82,0
138,2026-09-06T14:16:05+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.84,0
139,2026-09-06T14:16:06+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.91,0
140,2026-09-06T14:16:07+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.94,0
141,2026-09-06T14:16:09+03:00,performance,64.9,49,62.0,2200,2400,2,36.5,NA,6.97,0
143,2026-09-06T14:16:10+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.99,0
144,2026-09-06T14:16:11+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.84,0
145,2026-09-06T14:16:12+03:00,performance,64.8,49,63.0,2200,2400,2,36.5,NA,6.90,0
146,2026-09-06T14:16:13+03:00,performance,64.6,49,63.0,2200,2400,2,36.5,NA,7.01,0
147,2026-09-06T14:16:15+03:00,performance,64.5,49,63.0,2200,2400,2,36.5,NA,6.98,0
149,2026-09-06T14:16:16+03:00,performance,64.4,49,63.0,2200,2400,2,36.5,NA,6.91,0
150,2026-09-06T14:16:17+03:00,performance,64.5,49,63.0,2200,2400,2,36.5,NA,6.84,0
151,2026-09-06T14:16:18+03:00,performance,64.5,49,63.0,2200,2400,2,36.5,NA,6.95,0
152,2026-09-06T14:16:19+03:00,performance,64.5,49,63.0,2200,2400,2,36.5,NA,6.96,0
153,2026-09-06T14:16:20+03:00,performance,64.5,49,63.0,2200,2400,2,36.5,NA,6.96,0
154,2026-09-06T14:16:22+03:00,performance,64.6,49,63.0,2200,2400,2,36.5,NA,6.95,0
156,2026-09-06T14:16:23+03:00,performance,64.5,49,63.0,2200,2400,2,36.5,NA,6.95,0
157,2026-09-06T14:16:24+03:00,performance,64.5,49,63.0,2200,2400,2,36.5,NA,6.89,0
158,2026-09-06T14:16:25+03:00,performance,64.6,49,63.0,2200,2400,2,36.5,NA,6.95,0
159,2026-09-06T14:16:26+03:00,performance,64.8,49,63.0,2200,2400,2,36.5,NA,6.96,0
160,2026-09-06T14:16:28+03:00,performance,64.8,49,63.0,2200,2400,2,36.5,NA,6.97,0
162,2026-09-06T14:16:29+03:00,performance,64.8,49,63.0,2200,2400,2,36.5,NA,6.89,0
163,2026-09-06T14:16:30+03:00,performance,64.8,49,63.0,2200,2400,2,36.5,NA,6.87,0
164,2026-09-06T14:16:31+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.93,0
165,2026-09-06T14:16:32+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.95,0
166,2026-09-06T14:16:34+03:00,performance,64.8,49,63.0,2200,2400,2,36.5,NA,6.94,0
168,2026-09-06T14:16:35+03:00,performance,64.8,49,63.0,2200,2400,2,36.5,NA,6.93,0
169,2026-09-06T14:16:36+03:00,performance,64.8,49,63.0,2200,2400,2,36.5,NA,6.86,0
170,2026-09-06T14:16:37+03:00,performance,64.8,49,63.0,2200,2400,2,36.5,NA,6.96,0
171,2026-09-06T14:16:38+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.99,0
172,2026-09-06T14:16:39+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.99,0
173,2026-09-06T14:16:41+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.96,0
175,2026-09-06T14:16:42+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.95,0
176,2026-09-06T14:16:43+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.84,0
177,2026-09-06T14:16:44+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.89,0
178,2026-09-06T14:16:45+03:00,performance,64.9,49,63.0,2200,2400,2,36.5,NA,6.92,0
179,2026-09-06T14:16:47+03:00,performance,65.0,49,63.0,2200,2400,2,36.5,NA,6.92,0
