elapsed_s,timestamp,profile,cpu_temp_c,gpu_temp_c,acpi_temp_c,fan1_rpm,fan2_rpm,pwm_enable,pwm_percent,cpu_power_w,gpu_power_w,gpu_util_percent
0,2026-09-06T14:47:31+03:00,performance,91.1,49,90.0,3400,3600,2,56.5,NA,7.01,0
1,2026-09-06T14:47:32+03:00,performance,91.1,49,90.0,3400,3600,2,56.5,NA,6.98,0
2,2026-09-06T14:47:33+03:00,performance,91.4,49,90.0,3400,3600,2,56.5,NA,6.90,0
3,2026-09-06T14:47:34+03:00,performance,91.4,50,90.0,3400,3600,2,56.5,NA,6.85,0
4,2026-09-06T14:47:36+03:00,performance,91.5,50,90.0,3400,3600,2,56.5,NA,6.92,0
6,2026-09-06T14:47:37+03:00,performance,91.5,50,90.0,3400,3600,2,56.5,NA,6.96,0
7,2026-09-06T14:47:38+03:00,performance,91.5,50,90.0,3400,3600,2,56.5,NA,6.96,0
8,2026-09-06T14:47:39+03:00,performance,91.8,50,90.0,3400,3600,2,56.5,NA,6.96,0
9,2026-09-06T14:47:40+03:00,performance,91.8,50,90.0,3400,3600,2,56.5,NA,7.00,0
10,2026-09-06T14:47:41+03:00,performance,91.9,50,90.0,3400,3600,2,56.5,NA,6.98,0
11,2026-09-06T14:47:43+03:00,performance,92.0,50,90.0,3400,3600,2,56.5,NA,7.07,0
