elapsed_s,timestamp,profile,cpu_temp_c,gpu_temp_c,acpi_temp_c,fan1_rpm,fan2_rpm,pwm_enable,pwm_percent,cpu_power_w,gpu_power_w,gpu_util_percent
0,2026-09-06T14:37:01+03:00,performance,46.0,44,45.0,0,0,2,0.0,NA,6.68,0
1,2026-09-06T14:37:03+03:00,performance,46.0,44,45.0,0,0,2,0.0,NA,6.77,0
3,2026-09-06T14:37:04+03:00,performance,46.0,44,45.0,0,0,2,0.0,NA,6.78,0
4,2026-09-06T14:37:05+03:00,performance,46.8,44,45.0,0,0,2,0.0,NA,6.80,0
5,2026-09-06T14:37:06+03:00,performance,46.5,44,45.0,0,0,2,0.0,NA,6.74,0
6,2026-09-06T14:37:07+03:00,performance,46.4,44,45.0,0,0,2,0.0,NA,6.76,0
7,2026-09-06T14:37:08+03:00,performance,46.2,44,45.0,0,0,2,0.0,NA,6.79,0
8,2026-09-06T14:37:09+03:00,performance,46.2,44,45.0,0,0,2,0.0,NA,6.81,0
9,2026-09-06T14:37:10+03:00,performance,53.0,44,45.0,0,0,2,0.0,NA,6.80,0
10,2026-09-06T14:37:11+03:00,performance,57.1,44,45.0,0,0,2,0.0,NA,6.37,0
11,2026-09-06T14:37:13+03:00,performance,58.5,44,45.0,0,0,2,0.0,NA,6.41,0
13,2026-09-06T14:37:14+03:00,performance,59.2,44,45.0,0,0,2,0.0,NA,6.42,0
14,2026-09-06T14:37:15+03:00,performance,59.6,45,45.0,0,0,2,0.0,NA,7.27,0
15,2026-09-06T14:37:16+03:00,performance,59.6,45,45.0,0,0,2,0.0,NA,6.85,0
16,2026-09-06T14:37:17+03:00,performance,60.0,45,45.0,0,0,2,0.0,NA,6.34,0
17,2026-09-06T14:37:19+03:00,performance,60.0,45,45.0,0,0,2,0.0,NA,7.50,0
19,2026-09-06T14:37:20+03:00,performance,60.2,45,45.0,0,0,2,0.0,NA,7.19,0
20,2026-09-06T14:37:21+03:00,performance,60.6,45,55.0,0,0,2,0.0,NA,6.51,0
21,2026-09-06T14:37:22+03:00,performance,60.8,46,55.0,0,0,2,0.0,NA,6.89,0
22,2026-09-06T14:37:23+03:00,performance,60.9,46,55.0,0,0,2,0.0,NA,6.52,0
23,2026-09-06T14:37:24+03:00,performance,61.0,46,55.0,0,0,2,0.0,NA,7.39,0
24,2026-09-06T14:37:26+03:00,performance,61.1,46,55.0,0,0,2,0.0,NA,6.56,0
26,2026-09-06T14:37:27+03:00,performance,61.1,46,55.0,0,0,2,0.0,NA,7.35,0
27,2026-09-06T14:37:28+03:00,performance,61.4,46,55.0,0,0,2,0.0,NA,6.57,0
28,2026-09-06T14:37:29+03:00,performance,61.5,46,55.0,0,0,2,0.0,NA,6.59,0
29,2026-09-06T14:37:30+03:00,performance,61.6,47,55.0,0,0,2,0.0,NA,6.50,0
