timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,ir_raw_c,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,ir_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,ir_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T22:28:14+03:00,0.1,performance,bios-auto,53.4,48.0,7.6,,41.0,,53.4,48.0,41.0,,53.4,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T22:28:15+03:00,1.2,performance,bios-auto,52.6,48.0,7.7,,41.0,,53.3,48.0,41.0,,53.3,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T22:28:16+03:00,2.3,performance,bios-auto,52.2,48.0,7.7,,41.0,,53.3,48.0,41.0,,53.3,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T22:28:17+03:00,3.4,performance,bios-auto,56.5,48.0,7.5,,41.0,,53.6,48.0,41.0,,53.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T22:28:18+03:00,4.6,performance,manual,65.2,50.0,7.6,,41.0,,54.8,48.2,41.0,,65.2,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,85,33.3,1,0,0,0,
2026-09-06T22:28:19+03:00,5.7,performance,manual,70.8,51.0,7.2,,41.0,,56.4,48.5,41.0,,70.8,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,1,0,0,0,
2026-09-06T22:28:20+03:00,6.8,performance,manual,75.2,54.0,7.3,,41.0,,58.3,49.0,41.0,,75.2,hp-vibrance-stx-n22x9-performance,cpu,38.3,31.7,31.7,,98,38.4,1,0,0,0,
2026-09-06T22:28:21+03:00,7.9,performance,manual,80.8,55.0,7.3,,41.0,,60.5,49.6,41.0,,80.8,hp-vibrance-stx-n22x9-performance,cpu,51.7,31.7,31.7,,132,51.8,1,51,1200,1200,
2026-09-06T22:28:22+03:00,9.1,performance,manual,82.6,53.0,7.4,,41.0,,62.7,50.0,41.0,,82.6,hp-vibrance-stx-n22x9-performance,cpu,56.7,31.7,31.7,,144,56.5,1,72,1700,1700,
2026-09-06T22:28:24+03:00,10.2,performance,manual,83.5,54.0,7.3,,41.0,,64.8,50.4,41.0,,83.5,hp-vibrance-stx-n22x9-performance,cpu,61.7,31.7,31.7,,157,61.6,1,85,2000,2100,
2026-09-06T22:28:25+03:00,11.3,performance,manual,84.1,56.0,7.6,,41.0,,66.7,50.9,41.0,,84.1,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,106,2500,2500,
2026-09-06T22:28:26+03:00,12.4,performance,manual,84.5,55.0,7.5,,41.0,,68.5,51.3,41.0,,84.5,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,119,2800,2800,
2026-09-06T22:28:27+03:00,13.5,performance,manual,84.6,56.0,7.5,,41.0,,70.1,51.8,41.0,,84.6,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,131,3100,3200,
2026-09-06T22:28:28+03:00,14.6,performance,manual,84.8,55.0,7.3,,41.0,,71.6,52.1,41.0,,84.8,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,148,3500,3500,
2026-09-06T22:28:29+03:00,15.6,performance,manual,84.9,56.0,7.2,,41.0,,72.9,52.5,41.0,,84.9,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,161,3800,3800,
2026-09-06T22:28:30+03:00,16.7,performance,manual,84.8,55.0,7.3,,41.0,,74.1,52.8,41.0,,84.8,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,174,4100,4100,
2026-09-06T22:28:31+03:00,17.8,performance,manual,84.8,56.0,7.1,,41.0,,75.2,53.1,41.0,,84.8,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,178,4200,4400,
2026-09-06T22:28:32+03:00,18.9,performance,manual,84.6,55.0,7.3,,41.0,,76.1,53.3,41.0,,84.6,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,178,4200,4400,
2026-09-06T22:28:33+03:00,20.0,performance,manual,84.6,56.0,7.3,,41.0,,77.0,53.5,41.0,,84.6,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,178,4200,4400,
2026-09-06T22:28:34+03:00,21.1,performance,manual,84.6,55.0,7.3,,41.0,,77.7,53.7,41.0,,84.6,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,178,4200,4400,
2026-09-06T22:28:36+03:00,22.1,performance,manual,84.6,55.0,7.2,,41.0,,78.4,53.8,41.0,,84.6,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,178,4200,4400,
2026-09-06T22:28:37+03:00,23.2,performance,manual,84.9,56.0,7.3,,41.0,,79.1,54.0,41.0,,84.9,hp-vibrance-stx-n22x9-performance,cpu,71.7,31.7,31.7,,183,71.8,1,178,4200,4400,
2026-09-06T22:28:38+03:00,24.3,performance,manual,85.0,55.0,7.3,,41.0,,79.7,54.1,41.0,,85.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,31.7,,200,78.4,1,178,4200,4400,
2026-09-06T22:28:39+03:00,25.5,performance,manual,84.9,56.0,7.3,,41.0,,80.2,54.3,41.0,,84.9,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,31.7,,200,78.4,1,191,4500,4600,
2026-09-06T22:28:40+03:00,26.5,performance,manual,85.2,56.0,7.3,,41.0,,80.7,54.5,41.0,,85.2,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T22:28:41+03:00,27.6,performance,manual,85.2,55.0,7.3,,40.0,,81.1,54.5,40.9,,85.2,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T22:28:42+03:00,28.7,performance,manual,85.1,55.0,7.4,,40.0,,81.5,54.6,40.9,,85.1,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,31.7,,200,78.4,1,195,4600,4800,
2026-09-06T22:28:43+03:00,29.8,performance,manual,85.1,56.0,7.3,,40.0,,81.9,54.7,40.9,,85.1,hp-vibrance-stx-n22x9-performance,cpu,78.3,31.7,31.7,,200,78.4,1,195,4600,4800,
