timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,ir_raw_c,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,ir_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,ir_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T23:16:00+03:00,0.1,performance,bios-auto,46.8,43.0,6.8,,40.0,,46.8,43.0,40.0,,46.8,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
2026-09-06T23:16:01+03:00,1.2,performance,bios-auto,46.2,43.0,6.8,,40.0,,46.7,43.0,40.0,,46.7,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
2026-09-06T23:16:02+03:00,2.2,performance,bios-auto,46.0,43.0,6.8,,40.0,,46.7,43.0,40.0,,46.7,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
2026-09-06T23:16:03+03:00,3.3,performance,bios-auto,46.1,43.0,6.9,,40.0,,46.7,43.0,40.0,,46.7,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
2026-09-06T23:16:05+03:00,4.4,performance,bios-auto,46.0,43.0,6.8,,40.0,,46.6,43.0,40.0,,46.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
2026-09-06T23:16:06+03:00,5.4,performance,bios-auto,45.8,43.0,6.8,,40.0,,46.6,43.0,40.0,,46.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
2026-09-06T23:16:07+03:00,6.5,performance,bios-auto,45.6,43.0,6.9,,40.0,,46.5,43.0,40.0,,46.5,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
2026-09-06T23:16:08+03:00,7.6,performance,bios-auto,45.5,43.0,6.9,,40.0,,46.5,43.0,40.0,,46.5,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
2026-09-06T23:16:09+03:00,8.6,performance,bios-auto,45.4,43.0,6.9,,40.0,,46.4,43.0,40.0,,46.4,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
2026-09-06T23:16:10+03:00,9.7,performance,bios-auto,45.2,43.0,6.9,,40.0,,46.4,43.0,40.0,,46.4,hp-vibrance-stx-n22x9-performance,,,,,,,,2,80,1900,2100,
