timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,ir_raw_c,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,ir_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,ir_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T22:36:48+03:00,0.1,performance,manual,60.9,45.0,26.7,,37.0,,60.9,45.0,37.0,,60.9,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T22:36:50+03:00,1.2,performance,manual,55.0,45.0,20.5,,37.0,,60.6,45.0,37.0,,60.6,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T22:36:51+03:00,2.3,performance,manual,65.8,48.0,46.0,,37.0,,61.1,45.3,37.0,,65.8,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,85,33.3,2,0,0,0,
2026-09-06T22:36:52+03:00,3.4,performance,manual,68.9,49.0,54.4,,37.0,,61.9,45.7,37.0,,68.9,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:36:53+03:00,4.5,performance,manual,60.5,46.0,36.0,,37.0,,61.8,45.7,37.0,,61.8,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:36:54+03:00,5.6,performance,manual,55.4,45.0,18.2,,37.0,,61.5,45.7,37.0,,61.5,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:36:55+03:00,6.6,performance,manual,66.1,49.0,45.4,,37.0,,61.9,46.0,37.0,,66.1,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:36:56+03:00,7.8,performance,manual,69.8,49.0,54.5,,37.0,,62.7,46.3,37.0,,69.8,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:36:57+03:00,8.8,performance,manual,61.4,46.0,32.3,,37.0,,62.7,46.3,37.0,,62.7,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,85,33.3,2,0,0,0,
2026-09-06T22:36:58+03:00,9.9,performance,manual,56.1,46.0,27.0,,37.0,,62.3,46.3,37.0,,62.3,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,85,33.3,2,0,0,0,
2026-09-06T22:36:59+03:00,11.0,performance,manual,66.1,49.0,32.3,,37.0,,62.7,46.5,37.0,,66.1,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,85,33.3,2,0,0,0,
2026-09-06T22:37:00+03:00,12.1,performance,manual,70.6,50.0,54.7,,37.0,,63.5,46.9,37.0,,70.6,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:37:01+03:00,13.1,performance,manual,61.9,47.0,29.1,,37.0,,63.4,46.9,37.0,,63.4,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:37:03+03:00,14.3,performance,manual,56.4,47.0,26.5,,37.0,,63.1,46.9,37.0,,63.1,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:37:04+03:00,15.4,performance,manual,66.8,50.0,30.9,,37.0,,63.4,47.2,37.0,,66.8,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:37:05+03:00,16.5,performance,manual,70.9,48.0,52.5,,37.0,,64.2,47.3,37.0,,70.9,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:37:06+03:00,17.6,performance,manual,62.1,47.0,26.4,,37.0,,64.1,47.3,37.0,,64.1,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,0,0,0,
2026-09-06T22:37:07+03:00,18.7,performance,manual,56.8,47.0,14.3,,37.0,,63.7,47.3,37.0,,63.7,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,89,34.9,2,46,1100,1200,
2026-09-06T22:37:08+03:00,19.7,performance,manual,67.9,50.0,30.8,,37.0,,64.1,47.5,37.0,,67.9,hp-vibrance-stx-n22x9-performance,cpu,33.3,31.7,31.7,,89,34.9,2,68,1600,1700,
2026-09-06T22:37:09+03:00,20.8,performance,manual,72.4,50.0,54.7,,37.0,,65.0,47.8,37.0,,72.4,hp-vibrance-stx-n22x9-performance,cpu,36.7,31.7,31.7,,94,36.9,2,80,1900,2000,
2026-09-06T22:37:10+03:00,21.9,performance,manual,63.6,47.0,35.7,,37.0,,64.9,47.7,37.0,,64.9,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,80,1900,2100,
2026-09-06T22:37:11+03:00,23.1,performance,manual,62.0,47.0,22.1,,37.0,,64.7,47.7,37.0,,64.7,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,80,1900,2100,
2026-09-06T22:37:12+03:00,24.1,performance,manual,69.1,50.0,46.0,,37.0,,65.2,47.9,37.0,,69.1,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,80,1900,2100,
2026-09-06T22:37:14+03:00,25.2,performance,manual,70.9,50.0,55.1,,37.0,,65.8,48.1,37.0,,70.9,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,80,1900,2100,
2026-09-06T22:37:15+03:00,26.3,performance,manual,62.4,47.0,32.5,,37.0,,65.6,48.1,37.0,,65.6,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,80,1900,2100,
2026-09-06T22:37:16+03:00,27.4,performance,manual,57.5,47.0,27.2,,37.0,,65.2,48.0,37.0,,65.2,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,80,1900,2100,
2026-09-06T22:37:17+03:00,28.5,performance,manual,67.4,50.0,30.1,,37.0,,65.4,48.2,37.0,,67.4,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,80,1900,2100,
2026-09-06T22:37:18+03:00,29.5,performance,manual,71.6,50.0,54.6,,38.0,,66.0,48.4,37.1,,71.6,hp-vibrance-stx-n22x9-performance,cpu,36.7,31.7,31.7,,94,36.9,2,80,1900,2100,
2026-09-06T22:37:19+03:00,30.6,performance,manual,62.8,47.0,28.3,,38.0,,65.9,48.3,37.2,,65.9,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,80,1900,2100,
2026-09-06T22:37:20+03:00,31.8,performance,manual,57.2,47.0,25.8,,38.0,,65.4,48.3,37.3,,65.4,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,85,2000,2200,
2026-09-06T22:37:21+03:00,32.8,performance,manual,68.6,50.0,45.3,,38.0,,65.7,48.4,37.3,,68.6,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,85,2000,2200,
2026-09-06T22:37:22+03:00,34.0,performance,manual,72.1,50.0,54.8,,38.0,,66.4,48.6,37.4,,72.1,hp-vibrance-stx-n22x9-performance,cpu,36.7,31.7,31.7,,94,36.9,2,85,2000,2200,
2026-09-06T22:37:23+03:00,35.0,performance,manual,63.1,48.0,37.6,,38.0,,66.2,48.6,37.5,,66.2,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,85,2000,2200,
2026-09-06T22:37:24+03:00,36.2,performance,manual,57.5,47.0,22.6,,38.0,,65.8,48.5,37.5,,65.8,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,85,2000,2200,
2026-09-06T22:37:26+03:00,37.2,performance,manual,69.1,50.0,46.3,,38.0,,66.1,48.6,37.6,,69.1,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,85,2000,2200,
2026-09-06T22:37:27+03:00,38.3,performance,manual,72.2,50.0,54.9,,38.0,,66.7,48.8,37.6,,72.2,hp-vibrance-stx-n22x9-performance,cpu,36.7,31.7,31.7,,94,36.9,2,85,2000,2200,
2026-09-06T22:37:28+03:00,39.4,performance,manual,63.1,48.0,34.4,,38.0,,66.6,48.7,37.7,,66.6,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,85,2000,2200,
2026-09-06T22:37:29+03:00,40.5,performance,manual,57.5,47.0,26.0,,38.0,,66.1,48.7,37.7,,66.1,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,85,2000,2200,
2026-09-06T22:37:30+03:00,41.6,performance,manual,68.9,50.0,53.8,,38.0,,66.4,48.8,37.7,,68.9,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,94,36.9,2,85,2000,2200,
2026-09-06T22:37:31+03:00,42.7,performance,manual,72.4,50.0,54.9,,38.0,,67.0,48.9,37.7,,72.4,hp-vibrance-stx-n22x9-performance,cpu,36.7,31.7,31.7,,94,36.9,2,85,2000,2200,
2026-09-06T22:37:32+03:00,43.8,performance,manual,63.2,47.0,30.8,,38.0,,66.8,48.8,37.8,,66.8,hp-vibrance-stx-n22x9-performance,cpu,35.0,31.7,31.7,,89,34.9,2,85,2000,2200,
