timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,ir_raw_c,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,ir_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,ir_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T23:06:07+03:00,0.1,performance,bios-auto,48.6,45.0,7.1,,38.0,,48.6,45.0,38.0,,48.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:08+03:00,1.1,performance,bios-auto,48.5,45.0,7.2,,38.0,,48.6,45.0,38.0,,48.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:10+03:00,2.2,performance,bios-auto,48.5,45.0,7.1,,38.0,,48.6,45.0,38.0,,48.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:11+03:00,3.3,performance,bios-auto,48.4,45.0,7.1,,38.0,,48.6,45.0,38.0,,48.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:12+03:00,4.3,performance,bios-auto,48.1,45.0,7.1,,38.0,,48.6,45.0,38.0,,48.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:13+03:00,5.4,performance,bios-auto,48.1,45.0,7.1,,38.0,,48.6,45.0,38.0,,48.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:14+03:00,6.5,performance,bios-auto,48.0,45.0,7.1,,38.0,,48.5,45.0,38.0,,48.5,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:15+03:00,7.5,performance,bios-auto,48.0,45.0,7.1,,38.0,,48.5,45.0,38.0,,48.5,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:16+03:00,8.6,performance,bios-auto,48.0,45.0,7.1,,,,48.5,45.0,,,48.5,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:17+03:00,9.7,performance,bios-auto,48.0,45.0,7.1,,,,48.5,45.0,,,48.5,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:18+03:00,10.7,performance,bios-auto,48.1,45.0,7.1,,,,48.4,45.0,,,48.4,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:19+03:00,11.8,performance,bios-auto,48.4,45.0,7.1,,,,48.4,45.0,,,48.4,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:20+03:00,12.9,performance,bios-auto,48.2,45.0,7.1,,,,48.4,45.0,,,48.4,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:06:21+03:00,13.9,performance,bios-auto,48.1,46.0,7.1,,,,48.4,45.1,,,48.4,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
