timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,ir_raw_c,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,ir_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,ir_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T23:10:19+03:00,0.0,performance,bios-auto,51.6,47.0,,,40.0,,51.6,47.0,40.0,,51.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:10:20+03:00,1.1,performance,bios-auto,51.5,47.0,,,40.0,,51.6,47.0,40.0,,51.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:10:21+03:00,2.1,performance,bios-auto,51.8,47.0,,,40.0,,51.6,47.0,40.0,,51.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:10:22+03:00,3.2,performance,bios-auto,51.4,47.0,,,40.0,,51.6,47.0,40.0,,51.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:10:23+03:00,4.3,performance,bios-auto,51.4,47.0,,,40.0,,51.6,47.0,40.0,,51.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:10:24+03:00,5.3,performance,bios-auto,51.1,48.0,,,40.0,,51.6,47.1,40.0,,51.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:10:25+03:00,6.4,performance,bios-auto,51.2,47.0,,,40.0,,51.6,47.1,40.0,,51.6,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:10:26+03:00,7.4,performance,bios-auto,54.5,48.0,,,40.0,,51.9,47.2,40.0,,51.9,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:10:27+03:00,8.5,performance,bios-auto,58.0,48.0,,,40.0,,52.5,47.3,40.0,,52.5,hp-vibrance-stx-n22x9-performance,,,,,,,,2,0,0,0,
2026-09-06T23:10:28+03:00,9.5,performance,manual,60.4,48.0,,,40.0,,53.3,47.3,40.0,,60.4,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:29+03:00,10.6,performance,manual,61.1,48.0,,,40.0,,54.0,47.4,40.0,,61.1,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:30+03:00,11.6,performance,manual,61.4,48.0,,,40.0,,54.8,47.5,40.0,,61.4,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:31+03:00,12.7,performance,manual,61.4,48.0,,,40.0,,55.4,47.5,40.0,,61.4,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:32+03:00,13.7,performance,manual,61.0,48.0,,,40.0,,56.0,47.6,40.0,,61.0,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:33+03:00,14.8,performance,manual,61.0,48.0,,,40.0,,56.5,47.6,40.0,,61.0,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:34+03:00,15.8,performance,manual,60.6,48.0,,,40.0,,56.9,47.6,40.0,,60.6,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:35+03:00,16.9,performance,manual,61.1,49.0,,,40.0,,57.3,47.8,40.0,,61.1,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:36+03:00,17.9,performance,manual,61.6,48.0,,,40.0,,57.8,47.8,40.0,,61.6,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:37+03:00,19.0,performance,manual,61.6,48.0,,,40.0,,58.1,47.8,40.0,,61.6,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:39+03:00,20.0,performance,manual,61.8,48.0,,,40.0,,58.5,47.8,40.0,,61.8,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:40+03:00,21.1,performance,manual,62.0,48.0,,,40.0,,58.9,47.9,40.0,,62.0,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:41+03:00,22.1,performance,manual,61.6,48.0,,,40.0,,59.1,47.9,40.0,,61.6,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:42+03:00,23.2,performance,manual,62.1,48.0,,,40.0,,59.4,47.9,40.0,,62.1,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:43+03:00,24.2,performance,manual,62.1,48.0,,,40.0,,59.7,47.9,40.0,,62.1,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:44+03:00,25.3,performance,manual,62.1,48.0,,,40.0,,59.9,47.9,40.0,,62.1,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:45+03:00,26.3,performance,manual,62.4,48.0,,,40.0,,60.2,47.9,40.0,,62.4,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:46+03:00,27.4,performance,manual,62.1,48.0,,,40.0,,60.4,47.9,40.0,,62.1,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:47+03:00,28.4,performance,manual,62.0,49.0,,,40.0,,60.5,48.0,40.0,,62.0,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:48+03:00,29.5,performance,manual,62.1,49.0,,,40.0,,60.7,48.1,40.0,,62.1,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:49+03:00,30.5,performance,manual,62.1,49.0,,,40.0,,60.8,48.2,40.0,,62.1,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:50+03:00,31.6,performance,manual,62.2,49.0,,,40.0,,61.0,48.3,40.0,,62.2,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:51+03:00,32.6,performance,manual,62.4,49.0,,,40.0,,61.1,48.4,40.0,,62.4,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:52+03:00,33.7,performance,manual,62.9,49.0,,,40.0,,61.3,48.4,40.0,,62.9,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:53+03:00,34.7,performance,manual,62.9,49.0,,,40.0,,61.5,48.5,40.0,,62.9,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:54+03:00,35.8,performance,manual,62.9,49.0,,,40.0,,61.6,48.5,40.0,,62.9,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:55+03:00,36.8,performance,manual,62.2,49.0,,,40.0,,61.7,48.6,40.0,,62.2,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:56+03:00,37.9,performance,manual,59.0,49.0,,,40.0,,61.5,48.6,40.0,,61.5,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:57+03:00,38.9,performance,manual,56.8,49.0,,,40.0,,61.3,48.7,40.0,,61.3,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:10:58+03:00,40.0,performance,manual,55.0,49.0,,,40.0,,61.0,48.7,40.0,,61.0,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:11:00+03:00,41.0,performance,manual,53.9,49.0,,,40.0,,60.6,48.7,40.0,,60.6,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:11:01+03:00,42.1,performance,manual,53.2,48.0,,,40.0,,60.3,48.7,40.0,,60.3,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:11:02+03:00,43.1,performance,manual,52.9,49.0,,,40.0,,59.9,48.7,40.0,,59.9,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:11:03+03:00,44.2,performance,manual,52.6,49.0,,,40.0,,59.5,48.7,40.0,,59.5,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:11:04+03:00,45.2,performance,manual,56.2,49.0,,,40.0,,59.4,48.8,40.0,,59.4,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,31.7,,81,31.8,2,0,0,0,
2026-09-06T23:11:05+03:00,46.3,performance,manual,54.9,49.0,,,,,59.1,48.8,,,59.1,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,,81,31.8,2,0,0,0,
2026-09-06T23:11:06+03:00,47.3,performance,manual,54.1,50.0,,,,,58.9,48.9,,,58.9,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,,81,31.8,2,0,0,0,
2026-09-06T23:11:07+03:00,48.4,performance,manual,53.9,49.0,,,,,58.6,48.9,,,58.6,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,,81,31.8,2,0,0,0,
2026-09-06T23:11:08+03:00,49.4,performance,manual,54.1,50.0,,,,,58.4,49.0,,,58.4,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,,81,31.8,2,0,0,0,
2026-09-06T23:11:09+03:00,50.5,performance,manual,54.6,49.0,,,,,58.2,49.0,,,58.2,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,,81,31.8,2,0,0,0,
2026-09-06T23:11:10+03:00,51.5,performance,manual,53.9,49.0,,,,,58.0,49.0,,,58.0,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,,81,31.8,2,0,0,0,
2026-09-06T23:11:11+03:00,52.6,performance,manual,53.4,49.0,,,,,57.8,49.0,,,57.8,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,,81,31.8,2,0,0,0,
2026-09-06T23:11:12+03:00,53.6,performance,manual,53.0,49.0,,,,,57.5,49.0,,,57.5,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,,81,31.8,2,0,0,0,
2026-09-06T23:11:13+03:00,54.7,performance,manual,53.0,49.0,,,,,57.3,49.0,,,57.3,hp-vibrance-stx-n22x9-performance,cpu,31.7,31.7,,,81,31.8,2,0,0,0,
